study,phase,mechanism,attempt_id,pair_index,arm,request_id,group_id,family,expected,output,correct,status,finish_reason,prompt_tokens,generated_tokens,dispatch_completion_s,decision,retained_records,symbolic_answer_preserved,closure_records,max_retained_position_permille,min_retained_position_permille,overwritten_writes,total_records
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-49b1e2e4ca7449e9ba0325bbdffaf734,1,candidate,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,B,False,SUCCEEDED,eos,108,2,8.773891593,CERTIFIED_SLICE,3,True,3,857,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-49b1e2e4ca7449e9ba0325bbdffaf734,1,candidate,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,B,False,SUCCEEDED,eos,103,2,8.464754858,CERTIFIED_SLICE,3,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-49b1e2e4ca7449e9ba0325bbdffaf734,1,candidate,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,R,False,SUCCEEDED,eos,109,2,8.904388347,CERTIFIED_SLICE,3,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-49b1e2e4ca7449e9ba0325bbdffaf734,1,candidate,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DPCYN,True,SUCCEEDED,eos,109,4,10.229137497,CERTIFIED_SLICE,3,True,3,1000,285,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-49b1e2e4ca7449e9ba0325bbdffaf734,1,candidate,r004,6a29b3bdf7bd41bf95d7b09759e926ee7c7c26c10943c1173387837bdcecf963,reference-chain,DWVOU,U,False,SUCCEEDED,eos,107,2,8.791296537,CERTIFIED_SLICE,3,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-49b1e2e4ca7449e9ba0325bbdffaf734,1,candidate,r005,07aa32c5dfbd2d104349636ddf94a60483b38b30f0d2b6966d8ad978168b3e39,reference-chain,DLYDZ,DLYDZ,True,SUCCEEDED,eos,108,5,10.899359321,CERTIFIED_SLICE,3,True,3,857,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-49b1e2e4ca7449e9ba0325bbdffaf734,1,candidate,r006,82edbf30823b7fba6326c501423c5ec690797a8eaf2531f4c03cbeb747224fbc,reference-chain,DYQHW,H,False,SUCCEEDED,eos,113,2,9.293570876,CERTIFIED_SLICE,3,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-49b1e2e4ca7449e9ba0325bbdffaf734,1,candidate,r007,63029a045acf02d2354caa102a9b4d3a96018d1d75d3be4cc4d5a7bfdd97ce27,reference-chain,DXEDM,J,False,SUCCEEDED,eos,107,2,8.786011635,CERTIFIED_SLICE,3,True,3,1000,571,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r000,44e7ac70e54a06118594fbc77190e25256b11d126b5bba268b938c2e7c3d4cde,reference-chain,DZQRB,B,False,SUCCEEDED,eos,149,2,11.837389044,IDENTITY,,True,3,857,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r001,9c6faad1cb81beb33a5a627a6ce76c4a484f08144f0cb5983508412206624539,reference-chain,DBFMU,BFMU,False,SUCCEEDED,eos,141,4,12.843618839,IDENTITY,,True,3,571,142,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r002,61308e068d66d958f9caf2ff4cfad69baf9cfe3b4476d99b9f5a87b5465e0925,reference-chain,DDILR,"I
Explanation:
- DTRXC is initially referenced to DCFYR.
- DCFYR is then referenced to DEHCO.
- DE",False,SUCCEEDED,limit,147,32,31.746505324,IDENTITY,,True,3,1000,0,0,8
feasibility-14b-study03,DEVELOPMENT,dependency-slice-v1,attempt-70c3b5d04ef7494f885780f85ba3b4e5,1,baseline,r003,6895221b23db7fd0629474a54cae07948c1e0d442dd2ea82eb3f3f225debd387,reference-chain,DPCYN,DMDUF,False,SUCCEEDED,eos,147,4,13.292293731,IDENTITY,,True,3,1000,285,0,8
